epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
66,2876.75,0.6707,1.45236,0.5988,0.99817,0,0.8521,0.76931,0.82802,0.60902,0.85223,0.74707,0.79958,0.54951,0.83041,1.96111,0.69986,1.0921,0,0.00133687,0.000445625,0.00133687,0.000445625,0.00133687,0.000445625,0.00133687,0.000445625
67,2914.08,0.66098,1.4508,0.59678,0.99498,0,0.86972,0.75113,0.83195,0.60661,0.85352,0.73704,0.80026,0.55097,0.83901,1.91637,0.70929,1.09289,0,0.00129975,0.00043325,0.00129975,0.00043325,0.00129975,0.00043325,0.00129975,0.00043325
68,2951.7,0.66444,1.46833,0.59981,1.00154,0,0.86085,0.75914,0.83176,0.61036,0.84522,0.74112,0.80305,0.5532,0.83381,1.93158,0.69723,1.08748,0,0.00126262,0.000420875,0.00126262,0.000420875,0.00126262,0.000420875,0.00126262,0.000420875
69,2989.12,0.67346,1.47244,0.6002,0.99923,0,0.81806,0.77347,0.82699,0.61006,0.82514,0.7436,0.80042,0.55374,0.83419,1.91562,0.70203,1.09256,0,0.0012255,0.0004085,0.0012255,0.0004085,0.0012255,0.0004085,0.0012255,0.0004085
70,3026.58,0.67015,1.47747,0.59824,1.00321,0,0.84915,0.75897,0.82902,0.60865,0.87015,0.71891,0.79597,0.54706,0.82586,1.92838,0.70122,1.08531,0,0.00118838,0.000396125,0.00118838,0.000396125,0.00118838,0.000396125,0.00118838,0.000396125
71,3063.91,0.65971,1.42118,0.59229,0.99552,0,0.86424,0.74637,0.82783,0.61116,0.84961,0.73201,0.80083,0.5528,0.82042,1.93496,0.70049,1.08525,0,0.00115125,0.00038375,0.00115125,0.00038375,0.00115125,0.00038375,0.00115125,0.00038375
72,3101.4,0.67313,1.43365,0.58924,0.99414,0,0.85164,0.75371,0.8309,0.61021,0.8514,0.7367,0.80004,0.55058,0.82277,1.91661,0.69098,1.08898,0,0.00111413,0.000371375,0.00111413,0.000371375,0.00111413,0.000371375,0.00111413,0.000371375
73,3138.59,0.66614,1.44643,0.58634,0.99653,0,0.84973,0.75843,0.83225,0.60951,0.8335,0.74443,0.7995,0.55048,0.82717,1.9206,0.69168,1.09613,0,0.001077,0.000359,0.001077,0.000359,0.001077,0.000359,0.001077,0.000359
74,3175.92,0.65548,1.41528,0.58659,0.99328,0,0.85443,0.75973,0.82532,0.60661,0.83057,0.74405,0.79666,0.54941,0.82422,1.9426,0.69231,1.09352,0,0.00103988,0.000346625,0.00103988,0.000346625,0.00103988,0.000346625,0.00103988,0.000346625
75,3213.24,0.66293,1.4587,0.5787,0.99643,0,0.85205,0.75978,0.82773,0.60879,0.84501,0.73374,0.79537,0.54817,0.81965,1.94489,0.68729,1.08746,0,0.00100275,0.00033425,0.00100275,0.00033425,0.00100275,0.00033425,0.00100275,0.00033425
76,3251.35,0.66944,1.45277,0.59468,0.99891,0,0.83705,0.77244,0.82307,0.60291,0.82417,0.75695,0.79556,0.54239,0.82704,1.98755,0.69142,1.0888,0,0.000965625,0.000321875,0.000965625,0.000321875,0.000965625,0.000321875,0.000965625,0.000321875
77,3288.76,0.65534,1.42985,0.58211,0.99394,0,0.87478,0.754,0.83165,0.60801,0.86956,0.73929,0.80492,0.55309,0.83524,1.92884,0.68888,1.09567,0,0.0009285,0.0003095,0.0009285,0.0003095,0.0009285,0.0003095,0.0009285,0.0003095
